name,street_address,city,state,zip,phone,dataset_id,source_url,snapshot_status,operational_warning
Conley-Guerrero Senior Activity Center,808 Nile St.,Austin,TX,78702,512-978-2660,3yna-uh9e,https://data.austintexas.gov/Recreation-and-Culture/APR-Senior-Activity-Centers/3yna-uh9e,complete manual snapshot of the three source rows as of research,"Inventory does not establish activation, hours, HVAC, capacity, or event-time status."
Senior Activity Center - Lamar,2874 Shoal Crest Ave.,Austin,TX,78705,512-978-2480,3yna-uh9e,https://data.austintexas.gov/Recreation-and-Culture/APR-Senior-Activity-Centers/3yna-uh9e,complete manual snapshot of the three source rows as of research,"Inventory does not establish activation, hours, HVAC, capacity, or event-time status."
South Austin Senior Activity Center,3911 Menchaca/Manchaca Rd.,Austin,TX,78704,512-978-2400,3yna-uh9e,https://data.austintexas.gov/Recreation-and-Culture/APR-Senior-Activity-Centers/3yna-uh9e,complete manual snapshot of the three source rows as of research,"Inventory does not establish activation, hours, HVAC, capacity, or event-time status."
